Model,Mi550,
Serial Number,3526471001,

User Name,User01,
Location,Location01,

Wire Mode,3P4W_3CT,
Frequency(Hz),50,
Nominal Voltage(V),380,

Date,Time,Phase Voltage(V),,,,,Line Voltage(V),,,,Current(A),,,,,Frequency(Hz),Power Factor,,,,Displacement Power Factor,,,,Active Power(kW),,,,Reactive Power(kVar),,,,Apparent Power(kVA),,,,Active Energy Import(Wh),,,,Active Energy Export(Wh),,,,Reactive Energy Import(Varh),,,,Reactive Energy Export(Varh),,,,Apparent Energy(VAh),,,,Voltage THD(%),,,Voltage Odd THD(%),,,Voltage Even THD(%),,,Current THD(%),,,Current Odd THD(%),,,Current Even THD(%),,,Phase Voltage Peak(V),,,Phase VoltageCrest Factor,,,CurrentCrest Factor,,,Current K Factor,,,Voltage  Unbalance(%),,Current Unbalance(%),,Voltage Phase Angle(°),,,Current Phase Angle(°),,,Angle Between Voltages(°),,,Angle Between Currents(°),,,Voltage Current Angle(°),,,Phase Voltage Max.(V),,,,,Phase Voltage Min.(V),,,,,Line Voltage Max.(V),,,,Line Voltage Min.(V),,,,Current Max.(A),,,,,Current Min.(A),,,,,Frequency Max.(Hz),Frequency min.(Hz),Power Factor Max.,,,,Power Factor Min.,,,,Displacement Power Factor Max.,,,,Displacement Power Factor Min.,,,,Active Power Max.(kW),,,,Active Power Min.(kW),,,,Reactive Power Max.(kVar),,,,Reactive Power Min.(kVar),,,,Apparent Power Max.(kVA),,,,Apparent Power Min.(kVA),,,,Current Demand(A),,,,Active Power Demand(kW),,,,Reactive Power Demand(kVar),,,,Apparent Power Demand(kVA),,,,Current Demand Max.(A),,,,Active Power Demand Max.(kW),,,,Reactive Power Demand Max.(kVar),,,,Apparent Power Demand Max.(kVA),,,
,,UA,UB,UC,UAvg,UN,UAB,UBC,UCA,UAvg,IA,IB,IC,IAvg,IN,FA,PFA,PFB,PFC,PFTotal,DPFA,DPFB,DPFC,DPFTotal,PA,PB,PC,PSum,QA,QB,QC,QSum,SA,SB,SC,SSum,EPA_imp,EPB_imp,EPC_imp,EPSum_imp,EPA_exp,EPB_exp,EPC_exp,EPSum_exp,EQA_imp,EQB_imp,EQC_imp,EQSum_imp,EQA_exp,EQB_exp,EQC_exp,EQSum_exp,ESA,ESB,ESC,ESSUM,UA-THD,UB-THD,UC-THD,UA-TOHD,UB-TOHD,UC-TOHD,UA-TEHD,UB-TEHD,UC-TEHD,IA-THD,IB-THD,IC-THD,IA-TOHD,IB-TOHD,IC-TOHD,IA-TEHD,IB-TEHD,IC-TEHD,UA-pk,UB-pk,UC-pk,UA-CF,UB-CF,UC-CF,IA-CF,IB-CF,IC-CF,IA-KF,IB-KF,IC-KF,Negative,Zero,Negative,Zero,UA-angle,UB-angle,UC-angle,IA-angle,IB-angle,IC-angle,UAB-angle,UBC-angle,UCA-angle,IAB-angle,IBC-angle,ICA-angle,UIA-angle,UIB-angle,UIC-angle,UA-max,UB-max,UC-max,UAvg-max,UN-max,UA-min,UB-min,UC-min,UAvg-min,UN-min,UAB-max,UBC-max,UCA-max,UAvg-max,UAB-min,UBC-min,UCA-min,UAvg-min,IA-max,IB-max,IC-max,IAvg-max,IN-max,IA-min,IB-min,IC-min,IAvg-min,IN-min,FA-max,FA-min,PFA-max,PFB-max,PFC-max,PFTotal-max,PFA-min,PFB-min,PFC-min,PFTotal-min,DPFA-max,DPFB-max,DPFC-max,DPFTotal-max,DPFA-min,DPFB-min,DPFC-min,DPFTotal-min,PA-max,PB-max,PC-max,PSum-max,PA-min,PB-min,PC-min,PSum-min,QA-max,QB-max,QC-max,QSum-max,QA-min,QB-min,QC-min,QSum-min,SA-max,SB-max,SC-max,SSum-max,SA-min,SB-min,SC-min,SSum-min,IA,IB,IC,IAVG,PA,PB,PC,PSUM,QA,QB,QC,QSUM,SA,SB,SC,SSUM,IA-max,IB-max,IC-max,IAVG-max,PA-max,PB-max,PC-max,PSUM-max,QA-max,QB-max,QC-max,QSUM-max,SA-max,SB-max,SC-max,SSUM-max
2026/08/24,10:06:04,239.60,240.87,239.12,239.93,0.00,416.33,414.33,414.59,415.09,1.68,1.43,8.26,3.79,7.78,50.00,0.432,0.529,0.966,0.810,0.814,0.972,0.991,0.968,0.23,0.29,1.93,2.45,-0.17,-0.07,0.27,0.03,0.52,0.51,2.00,3.03,18771,14893,18290,51954,7520,6617,7557,21694,2790,3386,3159,9335,1989,2289,1920,6198,27458,23199,28141,78798,1.918,1.807,1.743,1.914,1.805,1.741,0.121,0.064,0.090,85.071,61.161,12.584,85.054,61.151,12.394,1.667,1.118,2.179,334.053,335.903,334.135,1.393,1.394,1.397,2.941,2.737,1.659,10.458,8.675,1.278,0.241,0.218,75.977,85.541,0.000,239.889,120.006,72.246,251.719,105.768,239.889,240.117,120.006,180.510,145.951,326.461,287.754,348.170,14.238,264.437,252.268,254.405,241.140,0.000,0.021,0.021,0.019,0.025,0.000,446.779,435.816,427.723,417.353,0.015,0.037,0.044,0.042,27.497,15.912,14.642,8.439,17.659,0.499,0.060,0.436,2.333,3.960,50.052,49.429,0.956,0.607,0.968,0.820,-0.139,-0.561,-0.795,0.000,0.993,0.982,1.000,0.984,0.000,-1.000,-0.821,0.000,1.893,0.600,1.952,2.876,0.000,-0.029,-0.028,0.000,0.277,0.000,0.275,0.059,-0.175,-0.140,-0.119,-0.270,1.996,1.083,2.023,3.771,0.000,0.000,0.000,0.000,8.810,4.069,2.325,5.068,1.077,0.317,0.206,1.600,0.155,-0.074,-0.062,0.019,1.127,0.565,0.371,2.063,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/24,10:06:09,239.75,241.15,239.31,239.95,0.00,416.74,414.75,414.75,415.41,1.84,1.61,8.16,4.07,7.79,49.99,0.437,0.560,0.966,0.786,0.820,0.969,0.991,0.969,0.23,0.30,1.93,2.46,-0.16,-0.08,0.26,0.02,0.55,0.58,2.00,3.12,18772,14893,18293,51958,7520,6617,7557,21694,2790,3386,3159,9335,1989,2289,1920,6198,27458,23200,28143,78801,1.559,1.484,1.374,1.557,1.483,1.373,0.067,0.057,0.037,94.901,60.116,11.744,94.858,60.109,11.485,2.858,0.914,2.454,333.943,336.014,333.758,1.393,1.395,1.396,2.799,2.835,1.666,10.899,7.847,1.297,0.266,0.184,68.387,65.110,0.000,239.871,119.936,322.383,215.139,107.121,239.871,240.064,119.936,107.244,108.018,215.262,37.617,24.732,12.814,239.813,241.204,239.419,240.005,0.000,239.226,240.588,238.946,239.869,0.000,416.807,415.015,414.930,415.320,415.610,414.089,414.011,415.045,2.528,2.558,8.362,4.067,7.821,1.528,1.343,8.086,3.722,7.661,50.002,49.991,0.447,0.578,0.966,0.811,0.432,0.529,0.964,0.786,0.814,0.972,0.991,0.969,0.813,0.967,0.990,0.968,0.231,0.303,1.933,2.455,0.226,0.288,1.927,2.446,-0.159,-0.068,0.271,0.034,-0.168,-0.080,0.261,0.023,0.546,0.582,2.011,3.125,0.517,0.502,1.993,3.014,8.810,4.069,2.325,5.068,1.077,0.317,0.206,1.600,0.155,-0.074,-0.062,0.019,1.127,0.565,0.371,2.063,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/24,10:06:14,239.53,240.93,239.03,239.82,0.00,416.47,414.35,414.16,414.99,1.69,1.86,8.24,3.81,7.77,49.98,0.428,0.580,0.964,0.807,0.814,0.968,0.991,0.968,0.22,0.29,1.93,2.44,-0.16,-0.08,0.27,0.03,0.52,0.51,2.00,3.03,18772,14894,18295,51961,7520,6617,7557,21694,2790,3386,3160,9336,1989,2289,1920,6198,27459,23201,28146,78806,1.618,1.582,1.458,1.616,1.580,1.457,0.071,0.089,0.050,93.923,63.992,11.827,93.888,63.975,11.578,2.568,1.460,2.414,333.564,335.753,333.741,1.393,1.394,1.395,2.975,2.747,1.662,10.714,7.389,1.297,0.294,0.140,62.325,97.108,0.000,239.818,119.865,72.123,198.738,117.387,239.818,240.047,119.865,239.027,81.352,320.379,287.877,41.080,2.479,239.779,241.196,239.379,239.949,0.000,239.136,240.515,238.826,239.578,0.000,416.880,414.934,414.820,415.399,415.403,413.907,413.770,414.572,2.563,2.033,8.376,4.067,7.946,1.530,1.353,8.071,3.784,7.727,49.992,49.982,0.437,0.580,0.967,0.807,0.392,0.503,0.964,0.786,0.820,0.969,0.991,0.969,0.811,0.968,0.990,0.968,0.228,0.303,1.930,2.455,0.224,0.289,1.927,2.444,-0.159,-0.074,0.271,0.031,-0.165,-0.080,0.261,0.022,0.569,0.582,2.004,3.125,0.524,0.506,1.991,3.030,8.810,4.069,2.325,5.068,1.077,0.317,0.206,1.600,0.155,-0.074,-0.062,0.019,1.127,0.565,0.371,2.063,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/24,10:06:19,239.49,240.85,239.33,239.88,0.00,416.07,414.65,414.61,415.11,1.77,1.54,8.19,3.80,7.82,49.99,0.440,0.565,0.965,0.807,0.812,0.967,0.991,0.968,0.23,0.29,1.93,2.45,-0.17,-0.08,0.27,0.02,0.53,0.51,2.00,3.03,18772,14894,18298,51964,7520,6617,7557,21694,2790,3386,3160,9336,1989,2289,1920,6198,27460,23201,28149,78810,1.568,1.483,1.394,1.567,1.483,1.390,0.037,0.030,0.096,84.508,59.089,11.917,84.500,59.076,11.627,1.229,1.234,2.611,333.713,335.681,333.850,1.393,1.394,1.395,3.017,2.677,1.695,10.432,7.554,1.288,0.231,0.197,85.857,59.609,0.000,239.959,119.971,325.740,285.486,111.533,239.959,240.012,119.971,40.201,174.006,214.207,34.260,314.473,8.438,239.844,241.196,239.489,239.902,0.000,239.299,240.621,238.975,239.823,0.000,416.864,415.069,414.965,415.108,415.852,414.050,413.979,414.991,2.174,1.912,8.396,3.856,8.092,1.527,1.370,8.048,3.783,7.709,49.990,49.982,0.442,0.580,0.967,0.811,0.397,0.531,0.964,0.802,0.814,0.969,0.991,0.968,0.810,0.964,0.990,0.967,0.232,0.296,1.940,2.458,0.224,0.286,1.929,2.444,-0.163,-0.074,0.273,0.031,-0.171,-0.079,0.267,0.023,0.528,0.536,2.009,3.056,0.519,0.502,1.997,3.028,8.810,4.069,2.325,5.068,1.077,0.317,0.206,1.600,0.155,-0.074,-0.062,0.019,1.127,0.565,0.371,2.063,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/24,10:06:24,239.37,240.93,239.21,240.07,0.00,416.19,414.33,414.36,414.96,1.60,1.37,8.18,3.76,7.82,49.99,0.440,0.557,0.966,0.811,0.814,0.968,0.991,0.968,0.23,0.29,1.94,2.45,-0.17,-0.08,0.27,0.03,0.52,0.50,2.00,3.03,18773,14894,18300,51967,7520,6617,7557,21694,2790,3386,3160,9336,1990,2289,1920,6199,27460,23202,28151,78813,1.559,1.472,1.343,1.559,1.468,1.341,0.040,0.107,0.080,84.654,58.478,11.603,84.633,58.363,11.347,1.892,3.672,2.421,333.534,336.087,333.641,1.393,1.395,1.395,2.784,2.674,1.604,10.325,7.579,1.286,0.259,0.200,66.399,74.945,0.000,239.889,119.953,42.961,251.086,113.941,239.889,240.064,119.953,151.875,137.197,289.072,317.039,348.803,6.012,239.731,241.168,239.444,240.072,0.000,239.304,240.621,238.901,239.855,0.000,416.624,414.936,414.901,415.427,415.776,414.024,414.028,415.076,2.257,1.814,8.440,3.852,7.943,1.533,1.350,8.116,3.756,7.758,49.993,49.990,0.440,0.569,0.967,0.811,0.420,0.553,0.964,0.797,0.815,0.967,0.991,0.968,0.807,0.967,0.990,0.967,0.232,0.288,1.943,2.458,0.229,0.284,1.929,2.447,-0.168,-0.073,0.271,0.025,-0.169,-0.077,0.263,0.021,0.568,0.512,2.012,3.075,0.520,0.503,1.997,3.028,8.810,4.069,2.325,5.068,1.077,0.317,0.206,1.600,0.155,-0.074,-0.062,0.019,1.127,0.565,0.371,2.063,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/24,10:06:29,239.69,241.06,239.43,239.86,0.00,416.46,414.79,414.94,415.40,1.55,1.79,8.22,3.73,7.86,50.00,0.436,0.553,0.966,0.801,0.811,0.967,0.991,0.968,0.23,0.28,1.94,2.44,-0.16,-0.07,0.27,0.03,0.53,0.51,2.01,3.05,18773,14895,18303,51971,7520,6617,7557,21694,2790,3386,3161,9337,1990,2290,1920,6200,27461,23203,28154,78818,1.539,1.434,1.315,1.537,1.433,1.313,0.085,0.058,0.083,88.910,72.157,12.518,88.886,72.137,12.324,2.055,1.671,2.195,334.001,335.961,334.335,1.394,1.394,1.396,2.873,2.734,1.723,10.399,8.713,1.316,0.217,0.214,84.190,80.837,0.000,239.941,120.006,55.652,310.482,117.018,239.941,240.064,120.006,105.170,193.465,298.635,304.348,289.459,2.988,239.872,241.351,239.617,240.072,0.000,239.201,240.534,238.954,239.730,0.000,416.925,415.247,415.214,415.152,415.650,413.977,414.071,414.807,2.390,2.237,8.458,3.882,7.997,1.513,1.349,8.084,3.730,7.766,49.997,49.991,0.440,0.567,0.967,0.811,0.400,0.538,0.965,0.793,0.814,0.971,0.991,0.969,0.807,0.968,0.990,0.967,0.230,0.290,1.941,2.454,0.224,0.278,1.933,2.442,-0.162,-0.070,0.271,0.034,-0.171,-0.079,0.267,0.024,0.547,0.537,2.015,3.092,0.519,0.503,2.004,3.028,8.810,4.069,2.325,5.068,1.077,0.317,0.206,1.600,0.155,-0.074,-0.062,0.019,1.127,0.565,0.371,2.063,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/24,10:06:34,239.62,240.98,239.29,240.04,0.00,416.40,414.72,414.57,415.23,1.63,1.73,8.24,3.77,7.85,49.99,0.438,0.534,0.966,0.808,0.808,0.975,0.990,0.968,0.23,0.28,1.93,2.44,-0.17,-0.07,0.27,0.03,0.52,0.50,2.00,3.03,18773,14895,18306,51974,7520,6617,7557,21694,2790,3386,3161,9337,1990,2290,1920,6200,27462,23203,28157,78822,1.566,1.457,1.357,1.565,1.456,1.355,0.046,0.043,0.059,83.345,62.772,12.036,83.333,62.767,11.867,1.423,0.828,2.007,333.811,335.867,334.162,1.393,1.394,1.396,2.867,2.580,1.674,10.297,9.672,1.318,0.259,0.168,64.199,97.009,0.000,239.906,119.918,70.629,199.178,110.865,239.906,240.012,119.918,231.486,88.313,319.799,289.371,40.729,9.053,239.862,241.166,239.531,240.105,0.000,239.474,240.676,239.106,239.856,0.000,416.860,415.084,415.124,415.519,416.156,414.300,414.487,415.114,1.905,2.147,8.408,3.860,7.961,1.526,1.319,8.128,3.730,7.779,49.997,49.994,0.438,0.560,0.967,0.808,0.428,0.534,0.966,0.793,0.816,0.975,0.991,0.969,0.807,0.967,0.990,0.968,0.234,0.286,1.937,2.453,0.225,0.278,1.934,2.442,-0.165,-0.065,0.269,0.034,-0.169,-0.070,0.263,0.028,0.526,0.564,2.012,3.094,0.523,0.500,2.003,3.025,8.810,4.069,2.325,5.068,1.077,0.317,0.206,1.600,0.155,-0.074,-0.062,0.019,1.127,0.565,0.371,2.063,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/24,10:06:39,239.59,240.75,239.14,239.84,0.00,416.26,414.42,414.50,415.06,1.61,1.49,8.22,3.74,7.76,49.99,0.437,0.537,0.966,0.809,0.808,0.963,0.991,0.967,0.23,0.28,1.93,2.44,-0.17,-0.07,0.27,0.02,0.53,0.50,2.00,3.02,18774,14896,18309,51979,7520,6617,7557,21694,2790,3386,3162,9338,1990,2290,1920,6200,27463,23204,28160,78827,1.569,1.459,1.377,1.569,1.459,1.376,0.037,0.030,0.052,86.013,60.668,11.828,86.003,60.650,11.620,1.315,1.492,2.208,333.650,335.537,333.693,1.393,1.393,1.395,3.123,2.611,1.667,10.461,8.259,1.314,0.251,0.175,62.545,80.986,0.000,239.871,119.953,43.365,222.574,108.141,239.871,240.082,119.953,158.836,114.451,305.156,316.635,17.297,11.813,239.787,241.098,239.431,240.043,0.000,239.433,240.647,238.950,239.841,0.000,416.759,414.882,414.959,415.330,415.964,414.173,414.277,415.079,1.936,2.343,8.401,3.848,8.024,1.549,1.335,8.057,3.736,7.750,49.995,49.991,0.440,0.560,0.967,0.809,0.435,0.528,0.964,0.793,0.810,0.975,0.991,0.968,0.808,0.967,0.990,0.967,0.235,0.286,1.937,2.452,0.230,0.280,1.928,2.440,-0.169,-0.067,0.273,0.031,-0.173,-0.080,0.266,0.018,0.532,0.551,2.008,3.077,0.523,0.495,1.996,3.017,8.810,4.069,2.325,5.068,1.077,0.317,0.206,1.600,0.155,-0.074,-0.062,0.019,1.127,0.565,0.371,2.063,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/24,10:06:44,239.56,240.72,239.14,239.83,0.00,416.13,414.51,414.43,415.02,1.58,1.45,8.17,3.82,7.80,50.00,0.432,0.534,0.967,0.808,0.817,0.968,0.991,0.969,0.22,0.29,1.93,2.44,-0.16,-0.08,0.27,0.03,0.52,0.50,2.00,3.02,18774,14896,18311,51981,7520,6617,7557,21694,2790,3386,3162,9338,1991,2290,1920,6201,27463,23205,28162,78830,1.834,1.762,1.693,1.832,1.759,1.690,0.076,0.114,0.116,88.684,75.495,11.710,88.663,75.439,11.518,1.941,2.919,2.114,333.651,335.743,333.821,1.393,1.394,1.395,3.107,2.606,1.693,10.578,7.373,1.309,0.248,0.170,71.190,81.313,0.000,239.906,119.936,61.102,249.592,109.020,239.906,240.029,119.936,171.492,155.566,323.068,298.898,350.314,10.916,239.825,241.046,239.415,239.960,0.000,239.479,240.675,238.952,239.827,0.000,416.769,414.901,414.961,415.275,415.983,414.143,414.092,415.054,1.915,2.360,8.390,3.845,7.921,1.452,1.357,8.078,3.736,7.695,50.001,49.991,0.442,0.537,0.968,0.809,0.432,0.520,0.966,0.791,0.813,0.971,0.991,0.969,0.808,0.963,0.990,0.967,0.234,0.290,1.931,2.447,0.223,0.280,1.925,2.438,-0.160,-0.071,0.267,0.030,-0.173,-0.077,0.265,0.021,0.529,0.576,2.002,3.094,0.517,0.496,1.994,3.017,8.810,4.069,2.325,5.068,1.077,0.317,0.206,1.600,0.155,-0.074,-0.062,0.019,1.127,0.565,0.371,2.063,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/24,10:06:49,239.70,240.96,239.18,239.96,0.00,416.50,414.52,414.70,415.24,1.67,1.52,8.28,3.82,7.69,50.01,0.440,0.597,0.966,0.811,0.815,0.970,0.990,0.968,0.23,0.32,1.93,2.47,-0.17,-0.08,0.27,0.02,0.53,0.52,2.00,3.05,18774,14897,18314,51985,7520,6617,7557,21694,2790,3386,3162,9338,1991,2290,1920,6201,27464,23206,28165,78835,1.685,1.573,1.489,1.685,1.570,1.488,0.043,0.102,0.051,84.668,55.543,12.260,84.656,55.527,12.024,1.422,1.325,2.391,333.871,335.951,333.953,1.393,1.394,1.395,2.997,2.623,1.796,10.494,7.043,1.315,0.227,0.190,78.061,57.791,0.000,239.889,119.988,334.301,270.896,114.820,239.889,240.100,119.988,63.492,155.988,219.480,25.699,328.992,5.168,239.882,241.082,239.449,240.039,0.000,239.400,240.724,239.068,239.827,0.000,416.853,414.935,415.218,415.421,416.022,414.378,414.194,415.024,2.328,1.896,8.430,3.864,7.975,1.494,1.350,8.080,3.713,7.625,50.014,50.001,0.440,0.597,0.967,0.812,0.420,0.534,0.965,0.805,0.817,0.973,0.991,0.969,0.809,0.968,0.990,0.967,0.234,0.316,1.931,2.475,0.223,0.288,1.925,2.438,-0.160,-0.074,0.272,0.030,-0.169,-0.079,0.261,0.021,0.535,0.519,2.002,3.051,0.514,0.499,1.993,3.017,8.810,4.069,2.325,5.068,1.077,0.317,0.206,1.600,0.155,-0.074,-0.062,0.019,1.127,0.565,0.371,2.063,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
